name,setting,unit,short_desc,reset_val
jit_tuple_deforming,on,,Allow JIT compilation of tuple deforming.,on
join_collapse_limit,8,,Sets the FROM-list size beyond which JOIN constructs are not flattened.,8
krb_caseins_users,off,,Sets whether Kerberos and GSSAPI user names should be treated as case-insensitive.,off
krb_server_keyfile,FILE:/home/postgres/tmp_basedir_polardb_pg_1100_bld/etc/krb5.keytab,,Sets the location of the Kerberos server key file.,FILE:/home/postgres/tmp_basedir_polardb_pg_1100_bld/etc/krb5.keytab
lc_collate,en_US.UTF-8,,Shows the collation order locale.,en_US.UTF-8
lc_ctype,en_US.UTF-8,,Shows the character classification and case conversion locale.,en_US.UTF-8
lc_messages,en_US.UTF-8,,Sets the language in which messages are displayed.,en_US.UTF-8
lc_monetary,en_US.UTF-8,,Sets the locale for formatting monetary amounts.,en_US.UTF-8
lc_numeric,en_US.UTF-8,,Sets the locale for formatting numbers.,en_US.UTF-8
lc_time,en_US.UTF-8,,Sets the locale for formatting date and time values.,en_US.UTF-8
listen_addresses,localhost,,Sets the host name or IP address(es) to listen to.,localhost
lo_compat_privileges,off,,Enables backward compatibility mode for privilege checks on large objects.,off
local_preload_libraries,"",,Lists unprivileged shared libraries to preload into each backend.,""
lock_timeout,0,ms,Sets the maximum allowed duration of any wait for a lock.,0
log_autovacuum_min_duration,-1,ms,Sets the minimum execution time above which autovacuum actions will be logged.,-1
log_checkpoints,off,,Logs each checkpoint.,off
log_connections,off,,Logs each successful connection.,off
log_destination,polar_multi_dest,,Sets the destination for server log output.,polar_multi_dest
log_directory,log,,Sets the destination directory for log files.,log
log_disconnections,off,,"Logs end of a session, including duration.",off
log_duration,off,,Logs the duration of each completed SQL statement.,off
log_error_verbosity,default,,Sets the verbosity of logged messages.,default
log_executor_stats,off,,Writes executor performance statistics to the server log.,off
log_file_mode,0600,,Sets the file permissions for log files.,384
log_filename,postgresql-%Y-%m-%d_%H%M%S.log,,Sets the file name pattern for log files.,postgresql-%Y-%m-%d_%H%M%S.log
log_hostname,off,,Logs the host name in the connection logs.,off
log_line_prefix,%m [%p] [%P] ,,Controls information prefixed to each log line.,%m [%p] [%P] 
log_lock_waits,off,,Logs long lock waits.,off
log_min_duration_statement,-1,ms,Sets the minimum execution time above which statements will be logged.,-1
log_min_error_statement,error,,Causes all statements generating error at or above this level to be logged.,error
log_min_messages,warning,,Sets the message levels that are logged.,warning
log_parser_stats,off,,Writes parser performance statistics to the server log.,off
log_planner_stats,off,,Writes planner performance statistics to the server log.,off
log_replication_commands,off,,Logs each replication command.,off
log_rotation_age,1440,min,Automatic log file rotation will occur after N minutes.,1440
log_rotation_size,10240,kB,Automatic log file rotation will occur after N kilobytes.,10240
log_statement,ddl,,Sets the type of statements logged.,ddl
log_statement_stats,off,,Writes cumulative performance statistics to the server log.,off
log_temp_files,-1,kB,Log the use of temporary files larger than this number of kilobytes.,-1
log_timezone,Asia/Shanghai,,Sets the time zone to use in log messages.,Asia/Shanghai
log_truncate_on_rotation,off,,Truncate existing log files of same name during log rotation.,off
logging_collector,off,,Start a subprocess to capture stderr output and/or csvlogs into log files.,off
maintenance_work_mem,1048576,kB,Sets the maximum memory to be used for maintenance operations.,1048576
max_connections,100,,Sets the maximum number of concurrent connections.,100
max_files_per_process,1000,,Sets the maximum number of simultaneously open files for each server process.,1000
max_function_args,100,,Shows the maximum number of function arguments.,100
max_identifier_length,63,,Shows the maximum identifier length.,63
max_index_keys,32,,Shows the maximum number of index keys.,32
max_locks_per_transaction,64,,Sets the maximum number of locks per transaction.,64
max_logical_replication_workers,32,,Maximum number of logical replication worker processes.,32
max_parallel_maintenance_workers,2,,Sets the maximum number of parallel processes per maintenance operation.,2
max_parallel_workers,8,,Sets the maximum number of parallel workers that can be active at one time.,8
max_parallel_workers_per_gather,8,,Sets the maximum number of parallel processes per executor node.,8
max_pred_locks_per_page,2,,Sets the maximum number of predicate-locked tuples per page.,2
max_pred_locks_per_relation,-2,,Sets the maximum number of predicate-locked pages and tuples per relation.,-2
max_pred_locks_per_transaction,64,,Sets the maximum number of predicate locks per transaction.,64
max_prepared_transactions,0,,Sets the maximum number of simultaneously prepared transactions.,0
max_replication_slots,64,,Sets the maximum number of simultaneously defined replication slots.,64
max_slot_wal_keep_size,-1,MB,Sets the maximum WAL size that can be reserved by replication slots.,-1
max_stack_depth,2048,kB,"Sets the maximum stack depth, in kilobytes.",2048
max_standby_archive_delay,30000,ms,Sets the maximum delay before canceling queries when a hot standby server is processing archived WAL data.,30000
max_standby_streaming_delay,30000,ms,Sets the maximum delay before canceling queries when a hot standby server is processing streamed WAL data.,30000
max_sync_workers_per_subscription,2,,Maximum number of table synchronization workers per subscription.,2
max_wal_senders,64,,Sets the maximum number of simultaneously running WAL sender processes.,64
max_wal_size,1024,MB,Sets the WAL size that triggers a checkpoint.,1024
max_worker_processes,24,,Maximum number of concurrent worker processes.,24
min_parallel_index_scan_size,1024,8kB,Sets the minimum amount of index data for a parallel scan.,1024
min_parallel_table_scan_size,1024,8kB,Sets the minimum amount of table data for a parallel scan.,1024
min_wal_size,80,MB,Sets the minimum size to shrink the WAL to.,80
old_snapshot_threshold,-1,min,Time before a snapshot is too old to read pages changed after the snapshot was taken.,-1
operator_precedence_warning,off,,Emit a warning for constructs that changed meaning since PostgreSQL 9.4.,off
parallel_leader_participation,on,,Controls whether Gather and Gather Merge also run subplans.,on
parallel_setup_cost,1000,,Sets the planner's estimate of the cost of starting up worker processes for parallel query.,1000
parallel_tuple_cost,0.1,,Sets the planner's estimate of the cost of passing each tuple (row) from worker to master backend.,0.1
password_encryption,md5,,Chooses the algorithm for encrypting passwords.,md5
pg_stat_statements.enable_superuser_track,off,,Selects whether commands executed by superuser are tracked by pg_stat_statements.,off
pg_stat_statements.max,5000,,Sets the maximum number of statements tracked by pg_stat_statements.,5000
pg_stat_statements.save,off,,Save pg_stat_statements statistics across server shutdowns.,off
pg_stat_statements.track,top,,Selects which statements are tracked by pg_stat_statements.,top
pg_stat_statements.track_utility,off,,Selects whether utility commands are tracked by pg_stat_statements.,off
polar_async_buffer_slot_size,8,,polar_async_buffer_slot_size.,8
polar_async_ddl_lock_replay_worker_num,1,,Async ddl lock replay worker count.,1
polar_audit_log_flush_timeout,30000,ms,Sets the audit log timeout to flush.,30000
polar_auditlog_max_query_length,8192,,polardb max audit log length,8192
polar_auto_cascade_extensions,"postgis, postgis_topology, postgis_sfcgal, address_standardizer, address_standardizer_data_us, postgis_tiger_geocoder, pgrouting",,Changes the list of extensions that are automatically cascaded.,"postgis, postgis_topology, postgis_sfcgal, address_standardizer, address_standardizer_data_us, postgis_tiger_geocoder, pgrouting"
polar_available_extensions,"",,Changes the list of extensions that are allowed to create by polar users.,
polar_bg_replay_batch_size,20000,,Batch size of each bgwriter replay run.,20000
polar_bgwriter_batch_size_flushlist,100,,Sets the batch size when bgwriter get buffer from flush list,100
polar_bgwriter_max_batch_size,5000,,Sets the maximum batch size when bgwriter flush buffer from flush list,5000
polar_bgwriter_sleep_lsn_lag,100,MB,polar_bgwriter_sleep_lsn_lag,100
polar_bt_write_page_buffer_size,0,8kB,Sets the size of btbuild index page write buffer size.,0
polar_buffer_copy_lsn_lag_with_cons_lsn,100,MB,Sets the max lag between consistent lsn and oldest lsn when a buffer should be copied,100
polar_buffer_copy_min_modified_count,5,,Sets the minimum modified count when a buffer should be copied,5
polar_bulk_extend_size,512,8kB,"Sets the size of preallocate file, 0 (turning this feature off).",512
polar_bulk_read_size,16,8kB,"Sets size of bulk read, 0 (turning this feature off).",16
polar_check_checkpoint_legal_interval,100,ms,Sets the maximum interval between check the checkpoint legal or not.,100
polar_clog_max_local_cache_segments,128,,Set the maximum number of local segment file cache for clog,128
polar_clog_slot_size,512,,polar_clog_slot_size.,512
polar_cluster_passphrase_command,"",,Command to obtain passphrases for database encryption.,""
polar_commit_ts_max_local_cache_segments,32,,Set the maximum number of local segment file cache for commit_ts,32
polar_committs_buffer_slot_size,16,,polar_committs_buffer_slot_size.,16
polar_copy_buffers,16384,8kB,Set the size of copy buffer.,16384
polar_crash_recovery_rto,0,s,Sets the polar crash recovery rto.,0
polar_crash_recovery_rto_delay_count,1,ms,Sets the polar crash recovery delay time.,1
polar_crash_recovery_rto_threshold,0.8,,Sets the polar crash recovery threshold time to delay.,0.8
polar_create_table_with_full_replica_identity,on,,polar create table with full replica identity.,on
polar_csn_elog_panic_enable,on,,enable polar csn ,on
polar_csn_enable,on,,enable polar csn snapshot,on
polar_csn_xid_snapshot,off,,enable polar xid snapshot under csn mode,off
polar_csnlog_max_local_cache_segments,256,,Set the maximum number of local segment file cache for csnlog,256
polar_csnlog_slot_size,8192,,polar_csnlog_slot_size.,8192
polar_csnlog_upperbound_enable,off,,enable polar csn upperbound cache,off
polar_data_encryption_cipher,off,,Specify encryption algorithms to use.,off
polar_datadir,"",,polardb datadir.,""
polar_datamax_archive_timeout,60000,ms,Time between archive wal,60000
polar_datamax_prealloc_walfile_timeout,30000,ms,Time between prealloc wal file in datamax mode,30000
polar_datamax_remove_archivedone_wal_timeout,60000,ms,Time between remove archive done wal,60000
polar_datamax_save_replication_slots_timeout,300000,ms,Time between save replication slots in datamax mode,300000
polar_delay_dml_lsn_lag_threshold,10485760,kB,Sets the polar dml delay size for replay.,10485760
polar_delay_dml_option,off,,Delay DML for once or each tuple,off
polar_disk_name,"",,The virtual disk name privided by polarFS.,""
polar_dma_file,/home/postgres/tmp_master_dir_polardb_pg_1100_bld/polar_dma.conf,,"Sets the server's ""polar_dma"" configuration file.",/home/postgres/tmp_master_dir_polardb_pg_1100_bld/polar_dma.conf
polar_enable_create_table_as_bulk_insert,on,,Enable CREATE MATERIALIZED VIEW / CREATE TALBE AS / SELECT INTO to buffer tuples and insert them in batch,on
polar_enable_flashback_drop,off,,whether to open flashback_drop,off
polar_enable_inline_cte,off,,Enables the planner' to inline a CTE.,off
polar_enable_master_pbp,on,,Enable master persisted buffer pool.,on
polar_enable_master_recovery_bulk_extend,on,,A switch to control whether to use xlog bulk extend opt during recovery on master.,on
polar_enable_parallel_bgwriter,on,,Enables the use of parallel background writer.,on
polar_enable_px,off,,Enable polar_enable_px.,off
polar_enable_semi_sync_optimization,on,,enable semi-synchronous replication optimization under network jitter.,on
polar_enable_shared_server,off,,polar enable shared server mode. Depend on global guc polar_enable_shm_aset.,off
polar_enable_shared_server_hang,off,,polar enable shared server hang without abort.,off
polar_enable_shared_server_log,off,,"polar enable shared server log. If off, do not print log.",off
polar_enable_shared_server_testmode,off,,polar enable shared server testmode for special case.,off
polar_enable_standby_pbp,on,,Enable standby persisted buffer pool.,on
polar_enable_xact_split,on,,Switch to decide whether transactions rw-split support is on.,on
polar_fast_recovery_area_rotation,180,min,"Sets the maximum time to keep fast recovery area include clog, xact snapshot and flashback point files.",180
polar_flashback_log_bgwrite_delay,100,ms,Flashback log background writer sleep time between rounds.,100
polar_flashback_log_flush_max_size,5120,kB,Flashback log background writer will flush log no more than N kilobytes.,5120
polar_flashback_log_insert_list_delay,100,ms,Flashback log list background sleep time between rounds.,100
polar_flashback_log_insert_list_max_num,10240,,Flashback log background inserter will insert no more than N records.,10240
polar_flashback_log_insert_locks,8,,Set the number of locks for flashback log buffer insert,8
polar_flashback_log_keep_segments,8,,"Sets the number of flashback log files held, the files will be recycled.",8
polar_flashback_log_sync_buf_timeout,0,ms,The process wait N ms before background worker inserting flashback log record into buffer.,0
polar_flashback_logindex_bloom_blocks,512,,Set the number of blocks for flashback logindex bloom filter,512
polar_flashback_logindex_mem_size,64,MB,Set the size for flashback logindex memory table,64
polar_flashback_logindex_queue_buffers,8,MB,Sets the size (MB) of log queue buffer used to keep flashback logindex. 0 means disable flashback logindex queue,8
polar_flashback_point_segments,16,,Sets the minimum WAL distance between automatic flashback point.,16
polar_flashback_point_timeout,300,s,Sets the minimum time between automatic flashback point.,300
polar_forbidden_extensions,"",,Changes the list of extensions that are't allowed to create by polar users.,
polar_force_change_checkpoint,off,,Force to recovery from redo point set in pg_control,off
polar_fullpage_keep_segments,16,,Sets the number of FULLPAGE files held for replica.,16
polar_high_priority_replication_standby_names,standby1,,Comma-separated list of high priority replication standby names.,standby1
polar_hostid,1,,polardb hostid.,1
polar_huge_pages_reserved,512,8kB,Keep a bias with polar_shm_limit to avoid over-allocating.,512
polar_index_bulk_extend_size,128,8kB,"Sets the size of preallocate file for index, 0 (turning this feature off).",128
polar_index_create_bulk_extend_size,512,8kB,"Sets the size of preallocate file for index create, 0 (turning this feature off).",512
polar_instance_name,"",,"PolarDB instance name, the max length is 63.",""
polar_internal_allowed_extensions,"pg_stat_statements,btree_gin,btree_gist,citext,cube,dict_int,earthdistance,hstore,intagg,intarray,isn,ltree,pgcrypto,pgrowlocks,pg_prewarm,pg_trgm,sslinfo,tablefunc,unaccent,fuzzystrmatch,pgstattuple,pg_buffercache,""uuid-ossp"",bloom,smlar,vector,plpgsql,plperl,postgis,postgis_raster,postgis_topology,postgis_sfcgal,fuzzystrmatch,address_standardizer,address_standardizer_data_us,postgis_tiger_geocoder,polar_csn,polar_monitor,polar_monitor_preload,polar_px",,Changes the list of internal extensions that are allowed to create by polar users.,"pg_stat_statements,btree_gin,btree_gist,citext,cube,dict_int,earthdistance,hstore,intagg,intarray,isn,ltree,pgcrypto,pgrowlocks,pg_prewarm,pg_trgm,sslinfo,tablefunc,unaccent,fuzzystrmatch,pgstattuple,pg_buffercache,""uuid-ossp"",bloom,smlar,vector,plpgsql,plperl,postgis,postgis_raster,postgis_topology,postgis_sfcgal,fuzzystrmatch,address_standardizer,address_standardizer_data_us,postgis_tiger_geocoder,polar_csn,polar_monitor,polar_monitor_preload,polar_px"
polar_internal_allowed_roles,"pg_read_all_stats,pg_stat_scan_tables,pg_signal_backend,pg_polar_superuser",,Mark roles that polar_superuser has privs to.,"pg_read_all_stats,pg_stat_scan_tables,pg_signal_backend,pg_polar_superuser"
polar_internal_shared_preload_libraries,"polar_vfs,polar_worker,polar_resource_group,polar_monitor_preload,pg_stat_statements,polar_stat_sql",,Lists polardb internal shared libraries with high priority to preload into server.,"polar_vfs,polar_worker,polar_resource_group,polar_monitor_preload,pg_stat_statements,polar_stat_sql"
polar_io_read_throughtput_userset,0,MB,Set the io read throughtput by users.,0
polar_logical_repl_workers_reserved_for_superuser,16,,Sets the num of replication workers reserved for superuser.,16
polar_logindex_bloom_blocks,1024,,Set the number of blocks for logindex bloom filter,1024
polar_logindex_max_local_cache_segments,32,,Set the maximum number of local segment file cache for logindex,32
polar_logindex_mem_size,512,MB,Set the size for logindex memory table,512
polar_logindex_table_batch_size,100,,Set the batch size of logindex table to be flushed in background process.,100
polar_low_priority_replication_standby_names,"",,Comma-separated list of low priority replication standby names.,""
polar_max_auditlog_files,20,,A switch to control number of max pg audit log files,20
polar_max_dsm_request_size,0,kB,PolarDB max DSM memory.,0
polar_max_hashagg_mem,0,kB,PolarDB max HashAggregation operator memory.,0
polar_max_log_files,20,,A switch to control number of max pg sys log files,20
polar_max_logindex_files,80,,A switch to control number of max logindex files.This param is used when truncate logindex file,80
polar_max_non_super_conns,-1,,A switch to control number of max connections allowed for non-super users,-1
polar_max_normal_backends_factor,1.2,,A switch to control max allowed normal backends based on max_connections,1.2
polar_max_recursiveunion_mem,0,kB,PolarDB max RecursiveUnion operator memory.,0
polar_max_setop_mem,0,kB,PolarDB max SetOp operator memory.,0
polar_max_slowlog_files,20,,A switch to control number of max pg slow log files,20
polar_max_subplan_mem,0,kB,PolarDB max Subplan operator memory.,0
polar_max_super_conns,-1,,A switch to control number of max connections allowed for super users,-1
polar_min_bulk_extend_table_size,1024,8kB,"Sets the minimum amount of table data for bulk extend, bulk extend is enabled only when the table size >= polar_min_bulk_extend_table_size",1024
polar_monitor.backend_type_max,1024,,Sets the maximum number of backend type.,1024
polar_monitor.mcxt_timeout,1000,,configure for the polar_mcxt_view_hook waitting time,1000
polar_monitor.mcxt_view,on,,on/off the polar_mcxt_view_hook,on
polar_multixact_max_local_cache_segments,32,,Set the maximum number of local segment file cache for multixact,32
polar_mxact_member_buffer_slot_size,16,,polar_mxact_member_buffer_slot_size.,16
polar_mxact_offset_buffer_slot_size,8,,polar_mxact_offset_buffer_slot_size.,8
polar_nblocks_cache_mode,scan,,Number of Blocks cache mode,scan
polar_num_of_sysloggers,3,,Sets the number of syslogger process.,3
polar_oldserxid_buffer_slot_size,16,,polar_oldserxid_buffer_slot_size.,16
polar_openfile_with_readonly_in_replica,off,,open datafile with readonly mode in replica,off
polar_parallel_bgwriter_check_interval,10,s,The interval to check whether the server has enough parallel background writers.,10
polar_parallel_bgwriter_delay,10,ms,Parallel background writer sleep time between rounds.,10
polar_parallel_bgwriter_enable_dynamic,on,,Start or stop extra parallel background writer dynamically.,on
polar_parallel_bgwriter_workers,5,,Set the max number of the parallel background workers.,5
polar_parallel_new_bgwriter_threshold_lag,1024,MB,"Set the threshold to add a new bgwriter, if the consistent lag greater than this lag #polar_parallel_new_bgwriter_threshold_time, we will add a new parallel background writer.",1024
polar_parallel_new_bgwriter_threshold_time,10,s,"Set the threshold to add a new bgwriter, if the consistent lag greater than this lag #polar_parallel_new_bgwriter_threshold_time, we will add a new parallel background writer.",10
polar_parallel_replay_proc_num,8,,Set the number of processes to do parallel replay,8
polar_parallel_replay_task_queue_depth,1024,,Set the task queue depth when do parallel replay,1024
polar_partition_recursive_reloptions,px_workers,,Reloptions to be recursively set on partitioned tables.,px_workers
polar_primary_dml_delay,1,ms,Sets the polar dml delay for replay.,1
polar_priority_replication_force_wait,off,,"In priority replication, whether wait if all higher level standbys are down.",off
polar_priority_replication_mode,any,,Sets priority replication mode.,any
polar_px_allow_pagemode_bitmapscan,on,,This guc allows pagemode when heap bitmapscan in PX.,on
polar_px_allow_pagemode_seqscan,on,,This guc allows pagemode when heap bitmapscan in PX.,on
polar_px_allow_strat_bitmapscan,off,,This guc allows strat when heap bitmapscan in PX.,off
polar_px_allow_strat_seqscan,on,,This guc allows strat when heap seqscan in PX.,on
polar_px_allow_sync_bitmapscan,off,,This guc allows sync when heap bitmapscan in PX.,off
polar_px_allow_sync_seqscan,on,,This guc allows sync when heap seqscan in PX.,on
polar_px_cached_px_workers,0,,Sets the maximum number of px workers to cache between statements.,0
polar_px_dop_per_node,1,,The degree of parallelism per dbid.,1
polar_px_enable_adps,off,,Enable dynamic seqscan,off
polar_px_enable_adps_explain_analyze,off,,Enable dynamic seqscan explain analyze details,off
polar_px_enable_create_table_as,on,,This GUC allows PX to support create table as in parallel.,on
polar_px_enable_cte,on,,Enable px cte.,on
polar_px_enable_delete,off,,This guc allows parallel delete.,off
polar_px_enable_dispatch_async,on,,enable dispatch async mode,on
polar_px_enable_executor,on,,Enable px_enable_executor.,on
polar_px_enable_insert_from_tableless,off,,This guc allows insert ... from tableless on px.,off
